"Ply","CPL","Rank","nMoves","Move"
9,-5,2,36,"Nf3"
10,-69,8,30,"e6"
11,-12,5,34,"c4"
12,0,1,31,"Ne7"
13,0,1,33,"Nc3"
14,0,1,30,"O-O"
15,-298,Inf,37,"d5"
16,0,1,27,"exd5"
17,0,1,41,"cxd5"
18,-19,2,30,"Bg4"
19,-9,4,39,"Be2"
20,0,1,34,"Nd7"
21,-89,14,39,"Be3"
22,-16,2,37,"dxe5"
23,0,1,49,"Nxe5"
24,0,1,37,"Bxe2"
25,-136,3,47,"Kxe2"
26,-14,3,31,"Nxe5"
27,0,1,43,"fxe5"
28,0,1,29,"Bxe5"
29,-404,Inf,46,"Bh6"
30,-478,4,32,"Bg7"
31,0,1,42,"Bxg7"
32,0,1,25,"Kxg7"
33,-20,3,36,"Qd4+"
34,0,1,3,"f6"
35,-85,14,52,"Rhf1"
36,0,1,30,"Nf5"
37,0,1,52,"Qc5"
38,0,1,32,"b6"
39,-515,10,49,"Qc6"
40,0,1,30,"Nd4+"
1,-2,2,20,"d4"
2,-52,7,20,"a6"
3,0,1,28,"e4"
4,-22,2,19,"d6"
5,-31,14,38,"d5"
6,0,1,25,"Nf6"
7,0,1,38,"Bd3"
8,-15,5,28,"c6"
9,0,1,38,"c4"
10,-8,4,30,"g6"
11,-35,6,38,"Nf3"
12,-38,3,31,"Bg7"
13,-14,3,39,"O-O"
14,0,1,34,"Bg4"
15,-6,6,34,"h3"
16,0,1,36,"Bxf3"
17,0,1,31,"Qxf3"
18,0,2,30,"O-O"
19,0,2,33,"Nc3"
20,0,1,28,"Nbd7"
21,-6,5,37,"Bf4"
22,0,1,32,"cxd5"
23,-22,2,45,"exd5"
24,-94,8,30,"Nc5"
25,0,1,45,"Bc2"
26,-59,8,34,"Rb8"
27,-51,15,48,"Rab1"
28,0,1,32,"b5"
29,-73,18,46,"b3"
30,0,1,35,"bxc4"
31,-8,2,44,"bxc4"
32,-23,4,38,"Qa5"
33,-141,20,50,"g4"
34,-25,4,44,"Nxg4"
35,0,1,50,"hxg4"
36,-25,2,44,"Qxc3"
37,-72,2,46,"Qe2"
38,-46,5,53,"Rxb1"
39,0,1,38,"Rxb1"
40,-184,22,44,"Re8"
41,0,1,47,"Bxd6"
42,-29,2,47,"Bd4"
43,-444,22,45,"Bxe7"
44,0,1,42,"Qg3+"
45,0,1,2,"Kf1"
46,0,2,48,"Qh3+"
47,0,1,2,"Kg1"
48,-70,2,45,"f6"
49,-3,2,38,"d6"
50,-10,2,42,"Be5"
51,-Inf,10,37,"f3"
52,Inf,3,39,"Bxd6"
53,-154,4,40,"Rb7"
54,-16,2,38,"Qg3+"
55,0,1,3,"Kf1"
56,0,1,37,"Qh3+"
57,0,1,4,"Kg1"
58,-275,4,38,"Qh2+"
